label,speed_limit,ramp,tree,lighting,has_crosswalk,narrow_sidewalk,steep_slope,poor_condition
0,0.0,0,0,2,0,0.0,0.0,0.0
1,31.666666666666668,0,0,0,0,0.0,0.0,0.0
0,27.5,1,0,0,3,3.95,1.3,0.0
1,23.333333333333332,2,1,2,3,11.875,1.125,0.012894802863685932
1,29.0,0,0,0,1,7.75,0.55,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
0,20.0,1,0,0,1,6.25,2.55,0.02235213204951857
0,25.0,0,0,0,0,7.5,3.0,0.06701664246621244
1,22.5,2,0,1,2,11.0,1.8,0.011604293588627792
0,23.333333333333332,1,0,1,1,9.25,2.4,0.3209802595377843
1,25.0,0,0,0,0,0.0,0.0,0.0
0,15.0,0,0,0,0,0.0,0.0,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
1,20.0,3,2,2,2,6.1,2.62,0.09709748155034265
1,26.0,0,0,1,1,0.0,0.0,0.0
1,22.5,4,0,0,1,6.8125,3.3000000000000003,15.746023791606888
0,27.5,4,0,1,3,7.0,6.325,0.05336191313582445
0,20.0,2,0,3,1,6.5,3.4,0.07557637376927902
1,18.75,2,0,1,4,7.666666666666667,2.075,0.26371035589016373
0,0.0,0,0,2,0,0.0,0.0,0.0
1,25.0,1,0,0,1,0.0,0.0,0.0
1,25.0,2,0,2,4,32.5,2.475,0.15384331935145248
1,21.666666666666668,0,0,0,2,0.0,0.0,0.0
0,20.0,2,0,0,1,6.5,3.8499999999999996,0.10249091066481995
0,30.0,0,0,0,0,8.25,5.15,0.18266060431299047
1,23.333333333333332,2,0,3,3,7.5,4.033333333333333,0.3809817809234322
0,25.0,2,1,1,2,0.0,0.0,0.0
0,20.0,1,1,0,1,5.75,4.500000000000001,0.2743140317273343
1,22.142857142857142,0,0,1,2,5.0,2.1,0.09634028969667291
1,21.666666666666668,1,0,0,2,8.0,3.725,0.32410284359486174
0,0.0,0,0,0,0,0.0,0.0,0.0
1,20.0,0,0,0,1,8.75,1.1,0.07307196923949687
0,0.0,0,0,1,0,0.0,0.0,0.0
1,25.0,2,0,0,5,9.25,2.35,0.14768877532775726
0,0.0,0,0,0,2,7.0,2.0,0.0896
0,18.75,1,0,1,2,5.0,2.45,0.09552724756329561
1,23.333333333333332,3,0,1,3,7.5,3.0833333333333335,0.10254323339500686
1,22.5,2,0,1,4,8.25,3.7750000000000004,0.2911527580510844
1,25.0,0,0,0,1,0.0,0.0,0.0
1,30.0,2,0,0,2,10.875,2.5749999999999997,0.07070068290989225
1,23.75,2,0,1,5,7.0,2.625,0.130671973076872
0,30.0,1,0,2,3,12.6,1.9,0.08606828852580045
1,28.333333333333332,0,0,0,0,3.25,1.65,0.2726269315673289
0,20.0,2,0,0,1,6.583333333333333,4.183333333333334,0.3803212493097365
0,20.0,2,0,2,1,6.166666666666667,2.2833333333333337,0.02322013211334513
1,22.0,2,1,2,2,9.166666666666666,2.433333333333333,0.07384389200748463
0,0.0,0,0,1,0,0.0,0.0,0.0
1,21.666666666666668,2,0,0,1,7.5,1.9000000000000001,0.24289554531490018
1,20.0,1,0,0,2,0.0,0.0,0.046511627906976744
1,20.0,1,0,0,2,6.75,3.3,0.22519434895672522
1,25.0,2,0,0,3,7.375,1.35,0.07435883901848062
1,25.0,2,0,1,1,9.0,3.7000000000000006,0.10377810681777196
1,20.0,1,0,2,3,9.0,2.85,0.0
1,30.0,0,0,1,0,0.0,0.0,0.0
0,20.0,1,1,1,1,7.75,2.6,0.04321348122849349
0,24.0,1,0,1,3,8.0,2.45,0.04977813324282358
1,15.0,0,0,0,1,5.5,2.3,0.03696236559139785
0,0.0,0,0,0,0,0.0,0.0,0.0
0,20.0,4,0,0,2,5.3125,1.4875,0.045473503952831826
0,21.25,4,0,0,3,5.583333333333333,2.4833333333333334,0.07960588282888881
1,25.0,1,0,2,3,8.25,1.9000000000000001,0.1075667581093008
1,22.5,1,0,0,2,6.833333333333333,4.633333333333334,0.10092051280032344
0,0.0,0,0,2,0,8.5,1.8999999999999997,0.16767812770168503
0,25.0,0,0,0,0,7.0,1.6,0.010402734433050974
0,0.0,0,0,0,0,0.0,0.0,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
0,27.5,1,0,0,2,7.0,4.466666666666666,0.15414299086646532
0,20.0,1,1,0,3,5.5,4.55,0.17591903701823436
0,25.0,1,0,2,2,6.75,2.35,0.08066369346012998
1,26.666666666666668,0,0,1,0,10.0,3.0,0.0353799799736818
0,15.0,1,0,1,1,10.0,5.2,0.2435064935064935
0,25.0,0,0,1,0,6.5,5.3,0.10600130463144161
1,22.5,0,0,1,3,7.5,1.9,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
1,30.0,1,0,0,4,12.25,7.449999999999999,0.12033910608378863
1,23.333333333333332,1,0,1,0,7.5,2.733333333333334,0.34463522019216714
0,0.0,0,0,1,0,0.0,0.0,0.0
1,17.5,2,0,4,1,6.875,3.75,0.12347746982215568
1,20.0,3,1,5,3,4.5,4.7,0.055346468760935
1,15.0,0,0,0,1,16.5,2.4,0.09109921365233395
0,15.0,0,0,0,1,0.0,0.0,0.0
1,20.0,1,1,2,2,9.75,6.449999999999999,0.15862908643081058
0,25.0,1,0,1,1,20.0,0.1,0.09437672040896579
0,25.0,3,0,1,2,7.25,3.6,0.03980891719745223
1,20.0,2,0,0,3,6.5,3.6,0.5258331418061807
1,25.0,2,0,0,3,5.5,1.475,0.09509125496122241
0,25.0,0,0,0,0,5.5,3.8,0.08517538054268696
0,0.0,0,0,0,0,0.0,0.0,0.0
0,18.333333333333332,2,0,0,1,8.333333333333334,3.533333333333333,0.26076628217634995
1,20.0,2,0,2,5,5.625,3.0999999999999996,0.14894468059068297
0,20.0,3,0,0,3,8.833333333333334,3.9333333333333336,0.06356230707158685
0,0.0,0,0,0,0,0.0,0.0,0.0
1,23.333333333333332,2,0,0,3,7.666666666666667,2.85,0.15556655988931567
1,25.0,0,0,0,0,8.0,1.2,0.0
1,25.0,2,0,1,2,8.5,4.55,0.7815778959806873
0,0.0,0,0,0,0,0.0,0.0,0.0
1,27.5,0,0,0,1,0.0,0.0,0.0
0,20.0,0,0,1,0,8.0,4.9,0.1912101645490523
1,22.5,2,0,0,3,7.375,7.85,0.15899303192823266
1,24.0,0,0,0,3,0.0,0.0,0.0
1,30.0,0,0,0,0,0.0,0.0,0.0
1,20.0,1,0,1,3,7.5,2.5,0.1090569173244703
1,22.5,1,0,0,2,8.25,3.8,0.23955214372173025
0,23.333333333333332,2,0,0,1,5.75,3.8,0.05295263406701767
1,21.25,2,0,1,2,11.5,2.05,0.14899593011236062
1,25.0,1,1,0,1,7.5,2.6333333333333333,0.6885864499624503
0,20.0,2,0,0,3,8.0,1.475,0.14992853365704767
1,20.0,1,0,1,2,7.5,1.05,0.06893605810846412
1,35.0,0,0,1,0,6.0,9.9,0.04240282685512368
