label,speed_limit,ramp,tree,has_crosswalk,narrow_sidewalk,steep_slope,poor_condition
1,25.0,0,2,0,8.5,1.05,0.04558817191853111
1,20.0,2,1,3,6.0,2.6500000000000004,0.17012067902613837
1,22.142857142857142,1,0,3,8.25,9.3,0.3368389245708988
0,20.0,4,1,4,6.142857142857143,2.875,0.06737996544417993
0,0.0,0,0,0,0.0,0.0,0.0
0,25.0,2,0,1,15.0,0.9,0.023142195937258934
1,29.0,2,0,1,17.333333333333332,2.0,0.07412893123434323
0,22.5,1,0,3,9.0,6.05,0.0
1,26.666666666666668,1,0,1,56.0,2.3000000000000003,63.04995074970642
1,22.5,1,0,3,13.0,3.9333333333333336,0.2675612275192056
0,0.0,0,0,0,0.0,0.0,0.0
1,25.0,1,0,1,7.75,3.05,0.05469745477678714
0,15.0,0,0,0,0.0,0.0,0.0
0,20.0,1,0,0,15.0,3.5,0.16863406408094436
1,20.0,3,0,2,6.0,2.3333333333333335,0.12685512151983655
1,21.25,2,0,4,6.875,1.65,0.06679672041649351
0,23.333333333333332,4,0,1,9.0,1.9600000000000002,0.16414859159489378
0,15.0,0,0,0,0.0,0.0,0.0
0,22.5,2,0,4,8.625,3.3499999999999996,0.06517720389650575
0,0.0,0,0,0,0.0,0.0,0.0
1,20.0,1,0,5,6.5,4.425,0.15186547838232428
1,25.0,1,0,1,9.0,2.75,0.3710496449519143
0,25.0,4,0,3,8.0,2.3,0.022443890274314215
1,22.5,2,1,4,9.0,2.6750000000000003,0.05567050631927065
1,23.333333333333332,0,0,0,9.0,4.333333333333333,0.7991003474777236
0,15.0,0,0,0,5.0,1.65,0.15186993411385505
1,23.333333333333332,2,0,2,7.0,1.1749999999999998,0.08271836890654923
1,22.5,2,0,2,7.0,2.725,0.3763305982125913
0,22.5,2,0,3,5.875,1.4499999999999997,0.028125
1,20.0,1,0,1,8.5,5.0,0.15753199677359792
1,25.0,2,0,6,6.5,3.7,0.15978954880088003
0,0.0,0,0,0,0.0,0.0,0.0
0,27.5,2,0,1,6.0,2.4000000000000004,0.09746127169645405
0,20.0,1,0,2,6.416666666666667,4.216666666666666,0.17807635802690946
1,20.0,2,0,3,6.75,4.074999999999999,0.4590588331023021
0,18.75,2,0,2,5.25,2.5,0.2929916874702109
1,23.333333333333332,3,0,4,8.0,1.4666666666666668,0.04660895900222641
0,23.333333333333332,0,0,1,14.0,2.8,0.020951810835079316
0,13.666666666666666,1,2,1,0.0,0.0,0.0
0,25.0,2,0,1,5.0,1.4,0.03302509907529723
0,18.333333333333332,2,0,1,5.5,2.35,0.030503621797090062
1,31.25,1,0,1,7.0,5.4,0.02700897825925651
1,23.333333333333332,2,1,3,6.5,3.7750000000000004,0.18876288568688507
1,22.5,1,2,2,8.0,1.2999999999999998,0.23875227851615782
0,20.0,2,1,1,11.5,2.1,0.03180041847025872
1,25.0,3,1,2,2.5,0.75,0.0
1,20.0,2,0,3,7.5,4.4,0.013567473321496753
1,21.666666666666668,1,1,2,6.8,1.1400000000000001,0.0
1,22.5,2,0,4,8.25,2.7,0.12989736407553723
0,0.0,1,0,3,11.25,2.1,0.3641658240247001
1,22.5,1,1,1,8.5,2.7,0.0923521038722035
0,15.0,0,0,0,7.0,3.9,0.2435125987213238
1,22.5,1,0,3,7.5,3.766666666666667,0.03437035059748669
1,21.25,1,0,3,9.5,1.0,0.05465903175429464
1,23.333333333333332,2,0,3,7.5,4.033333333333333,0.3809817809234322
1,22.5,3,0,5,16.285714285714285,2.6,0.15042142268110176
0,20.0,0,0,1,4.15,3.75,0.0
1,20.0,1,0,1,7.56,2.5333333333333337,0.0856829202825823
1,21.666666666666668,1,0,1,8.166666666666666,2.4,0.2933282027176601
0,30.0,0,0,1,0.0,0.0,0.0
1,20.0,4,0,4,6.0,2.5500000000000003,0.17507891918877483
0,20.0,2,1,0,7.0,4.5,0.06792645278148257
1,22.0,1,0,1,7.833333333333333,2.533333333333333,0.2755895106102467
0,0.0,0,0,0,0.0,0.0,0.0
0,18.333333333333332,0,2,1,4.916666666666667,3.3333333333333335,0.34711583131511
0,15.0,1,0,1,10.75,5.7,0.5415950548164794
0,20.0,2,1,1,7.5,2.5,0.5725773615635179
1,20.0,2,0,1,6.5,2.4000000000000004,0.10683594236654174
0,27.5,1,0,2,5.5,2.95,0.14307618892898552
1,20.0,3,2,5,7.416666666666667,3.8333333333333326,0.27158508993087566
0,28.333333333333332,1,0,2,3.0,5.3,0.05353770724692919
0,25.0,1,0,1,5.0,3.7,0.09795918367346938
0,40.0,2,0,2,15.0,6.1,0.07778377961262443
0,23.333333333333332,0,0,0,6.5,0.4,0.11107313738892687
1,33.0,0,0,1,14.5,3.5,100.67571921749136
0,20.0,0,1,0,6.5,6.6,0.14845831747240198
1,20.0,2,0,2,8.0,4.6,0.16684647196321697
0,20.0,3,0,2,7.916666666666667,4.383333333333334,0.06042534335386293
1,22.5,1,0,3,11.5,3.45,0.10575679922079276
1,23.333333333333332,2,0,3,8.5,4.3,0.7231118306834996
0,0.0,0,0,0,0.0,0.0,0.0
0,23.333333333333332,2,0,1,6.125,5.374999999999999,0.18018548478947388
1,25.0,1,0,3,6.25,6.4,0.42356651968557263
1,23.333333333333332,1,0,1,9.0,9.533333333333333,0.5724722992875527
0,0.0,0,0,0,8.5,2.5,0.1263850012458082
1,22.5,2,0,5,8.25,2.625,0.27431759536610933
0,20.0,1,1,1,8.0,2.366666666666667,0.12962159234557322
0,21.666666666666668,2,1,1,9.833333333333334,2.0166666666666666,0.4317705298341889
1,22.5,0,0,4,0.0,0.0,0.0
1,22.5,2,0,5,7.625,3.6,0.14943764276840055
0,35.0,1,2,3,14.0,0.7000000000000001,0.17181025395304264
1,22.5,1,0,3,6.666666666666667,2.466666666666667,0.05561076847640196
1,35.0,0,0,1,10.0,3.6,0.12345679012345678
1,20.0,1,2,3,6.0,4.699999999999999,0.08557270911434503
0,5.0,1,1,1,6.875,2.85,0.29880737547422315
0,20.0,2,0,0,6.5,4.6,0.3176553237464711
1,23.333333333333332,3,0,2,8.666666666666666,4.133333333333334,0.10148770455994148
0,18.75,2,0,4,7.0,4.1,0.062293391814548335
1,27.5,1,0,3,14.0,3.0,0.029005524861878452
1,25.0,2,0,1,7.166666666666667,4.433333333333334,0.31295098912518676
1,23.333333333333332,1,1,1,6.375,4.575,0.29288289676759816
0,20.0,0,0,0,6.75,3.7,0.045227858575909816
