label,speed_limit,ramp,tree,lighting,has_crosswalk,narrow_sidewalk,steep_slope,poor_condition
1,27.0,0,0,1,2,6.0,2.8,0.030979498861047835
1,25.0,0,0,0,0,0.0,0.0,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
0,20.0,1,0,0,2,6.1,2.8,0.08841689363050627
0,0.0,0,0,2,0,0.0,0.0,0.0
0,20.0,4,0,0,4,4.5625,3.2,0.06723539722778464
1,18.2,2,0,1,1,10.0,4.05,0.2534234725028347
0,15.0,0,0,0,0,6.0,0.7,0.05526134008749712
1,25.0,0,0,0,3,0.0,0.0,0.0
0,0.0,0,0,0,0,0.0,0.0,0.0
0,20.0,2,0,3,3,10.5,7.5,1.5184936846647183
1,22.5,1,0,0,2,5.75,4.25,0.312914467939601
0,20.0,2,1,0,1,7.5,2.7999999999999994,0.14520508663858897
0,5.0,0,4,0,0,0.0,0.0,0.0
0,25.0,2,0,0,1,6.333333333333333,5.866666666666667,0.31768748630263194
0,0.0,0,0,2,0,0.0,0.0,0.0
0,20.0,2,0,0,1,6.583333333333333,4.8,0.1675743988162395
1,23.0,2,0,0,6,8.25,0.725,0.22801052808552263
1,30.0,0,0,0,0,0.0,0.0,0.0
1,20.0,1,1,0,1,8.0,1.4666666666666668,0.14035969597958775
1,23.333333333333332,2,0,1,1,16.0,2.3000000000000003,0.08133034652608033
0,0.0,0,0,0,0,0.0,0.0,0.0
1,25.0,0,0,1,0,7.0,2.55,0.6315793339708715
1,35.0,0,0,0,0,10.0,3.9,0.15513160185076488
0,25.0,0,0,0,0,0.0,0.0,0.0
0,20.0,0,3,1,0,8.5,4.5,0.272523244629689
0,20.0,1,1,0,1,7.625,3.45,0.17025424430679098
0,0.0,2,0,1,2,8.5,3.25,0.09046612657038863
0,40.0,2,1,1,2,20.75,1.05,0.0
1,20.0,4,0,4,3,7.583333333333333,4.216666666666668,0.22817889328811045
1,23.75,1,0,2,2,8.833333333333334,3.966666666666667,0.05251765489636065
0,20.0,0,0,0,0,8.5,42.8,0.4008940840555356
1,30.0,1,0,1,3,7.25,3.65,0.28210812643580496
1,22.5,2,0,0,2,6.833333333333333,4.3,0.09404521940785444
0,15.0,0,0,0,0,7.0,6.3,0.03395906046599378
0,20.0,1,1,0,1,3.875,4.25,0.07388899202852453
1,22.5,2,0,0,2,5.333333333333333,1.2333333333333334,0.04048070841239722
1,23.333333333333332,2,1,1,1,7.925,2.9250000000000003,0.060593487346134386
0,17.5,4,2,0,2,8.5,2.9666666666666663,0.0856965607880427
1,35.0,0,0,1,0,7.5,1.1,0.05241605241605242
1,23.333333333333332,1,2,1,3,8.25,2.0,0.154609991379079
0,0.0,0,2,1,0,11.0,0.6,0.02977667493796526
1,15.0,0,0,0,0,0.0,0.0,0.0
0,20.0,4,0,2,4,6.375,5.7749999999999995,0.18099484592821175
1,20.0,1,1,2,1,9.5,1.3,0.07993941433860653
1,27.142857142857142,1,0,2,1,9.0,2.8,0.09656652360515021
