label,high_speed_limit,has_ramp,has_tree,poor_lighting,no_sidewalk,narrow_sidewalk,steep_slope,poor_condition
0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0,0
1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0
0,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,1,0,1,0,1,1,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0
0,0,0,0,1,0,1,1,1
0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0
1,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0
0,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0
1,0,1,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0
1,0,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1
1,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0,0
0,0,0,0,1,0,0,1,1
0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1
0,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,1,0
1,0,0,0,0,0,0,0,1
0,0,1,0,1,0,1,1,1
0,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0
1,0,1,1,0,0,0,0,0
1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,0,1,0
1,0,1,1,0,0,0,1,0
0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0
